Codigo,DesEtapaCentro,Denominacion,Isla,Municipio,PaginaWeb,CentroProfesores
38700406,C.PROFES.,C.PROFES. DE LA PALMA,LA PALMA,SANTA CRUZ DE LA PALMA,http://www.gobiernodecanarias.org/educacion/cep_sc_palma,SIN ASIGNAR
38701301,CER,CER BARLOVENTO-SAUCES,LA PALMA,BARLOVENTO,,C.PROFES. DE LA PALMA - 38700406
38701501,CER,CER LAS BREÑAS,LA PALMA,BREÑA BAJA,,C.PROFES. DE LA PALMA - 38700406
38701701,CER,CER TENO-ISLA BAJA,TENERIFE,BUENAVISTA DEL NORTE,,C.PROFES. NORTE DE TENERIFE - 38700391
38702201,CER,CER FUENCALIENTE-MAZO,LA PALMA,VILLA DE MAZO,,C.PROFES. DE LA PALMA - 38700406
38702502,CER,CER GARAFÍA,LA PALMA,GARAFÍA,,C.PROFES. DE LA PALMA - 38700406
38702511,EOEP,E.O.E.P. ANAGA,TENERIFE,,,
38702512,EOEP,E.O.E.P. LA OROTAVA,TENERIFE,,,
38702513,EOEP,E.O.E.P. LOS REALEJOS,TENERIFE,,,
38702515,EOEP,E.O.E.P. ABONA,TENERIFE,,,
38702517,EOEP,E.O.E.P. SANTA CRUZ DE LA PALMA,LA PALMA,,,
38702566,C.PROFES.,C.PROFES. LA GOMERA,LA GOMERA,SAN SEBASTIÁN DE LA GOMERA,http://www.gobiernodecanarias.org/educacion/usr/ceplagomera,SIN ASIGNAR
38702570,EOEP,E.O.E.P. VALLE DE ARIDANE,LA PALMA,,,
38702571,EOEP,E.O.E.P. EL HIERRO,EL HIERRO,,,
38702573,EOEP,E.O.E.P. SAN BENITO,TENERIFE,,,
38702574,EOEP,E.O.E.P. EL TABLERO,TENERIFE,,,
38702575,EOEP,E.O.E.P. ACENTEJO,TENERIFE,,,
38702576,EOEP,E.O.E.P. VALLE DE GÜÍMAR,TENERIFE,,,
38702577,EOEP,E.O.E.P. YCODEN-DAUTE,TENERIFE,,,
38702579,EOEP,E.O.E.P. ISORA,TENERIFE,,,
38702580,CER,CER CENTRO DE RECURSOS,TENERIFE,LOS REALEJOS,,
38702601,CER,CER GRANADILLA DE ABONA,TENERIFE,GRANADILLA DE ABONA,,C.PROFES. TENERIFE SUR - 38700388
38702651,EOEP,E.O.E.P. ESPECÍFICO DE DISCAPACIDADES VISUALES,TENERIFE,SANTA CRUZ DE TENERIFE,,SIN ASIGNAR
38702653,EOEP,E.O.E.P. LA LAGUNA,TENERIFE,,,
38702654,EOEP,E.O.E.P. OFRA-LOS GLADIOLOS,TENERIFE,,,
38702655,EOEP,E.O.E.P. LA GOMERA,LA GOMERA,,,
38702656,EOEP,E.O.E.P. ARONA,TENERIFE,,,
38702901,CER,CER GUÍA DE ISORA,TENERIFE,GUÍA DE ISORA,,C.PROFES. TENERIFE SUR - 38700388
38703002,CER,CER GÜÍMAR-FASNIA-ARICO,TENERIFE,GÜÍMAR,,C.PROFES. SANTA CRUZ DE TENERIFE - 38706050
38703303,CER,CER ICOD DE LOS VINOS,TENERIFE,ICOD DE LOS VINOS,,C.PROFES. NORTE DE TENERIFE - 38700391
38703602,CER,CER VALLE DE ARIDANE,LA PALMA,LOS LLANOS DE ARIDANE,,C.PROFES. DE LA PALMA - 38700406
38703701,CER,CER LA MATANZA DE ACENTEJO,TENERIFE,SANTA ÚRSULA,,C.PROFES. LA LAGUNA - 38700050
38704102,CER,CER BENIJOS,TENERIFE,LA OROTAVA,,
38705002,CER,CER EL ROSARIO-CANDELARIA,TENERIFE,EL ROSARIO,http://www.gobiernodecanarias.org/educacion/usr/cerroscan/index.html,C.PROFES. LA LAGUNA - 38700050
38705402,CER,CER SAN JUAN DE LA RAMBLA-LA GUANCHA,TENERIFE,LA GUANCHA,,C.PROFES. NORTE DE TENERIFE - 38700391
38705502,CER,CER SAN MIGUEL-VILAFLOR,TENERIFE,SAN MIGUEL DE ABONA,,C.PROFES. TENERIFE SUR - 38700388
38705701,CER,CER LA GOMERA,LA GOMERA,VALLE GRAN REY,,C.PROFES. LA GOMERA - 38702566
38705904,CER,CER SANTA CRUZ DE LA PALMA,LA PALMA,SANTA CRUZ DE LA PALMA,,C.PROFES. DE LA PALMA - 38700406
38706028,CER,CER ANAGA,TENERIFE,SANTA CRUZ DE TENERIFE,http://www.ceranaga.com,C.PROFES. SANTA CRUZ DE TENERIFE - 38706050
38706050,C.PROFES.,C.PROFES. SANTA CRUZ DE TENERIFE,TENERIFE,SANTA CRUZ DE TENERIFE,http://www.gobiernodecanarias.org/educacion/cep_sc_tenerife,SIN ASIGNAR
38706055,EOEP,E.O.E.P. ESPECÍFICO DE DISCAPACIDADES AUDITIVAS,TENERIFE,SANTA CRUZ DE TENERIFE,,SIN ASIGNAR
38706056,EOEP,E.O.E.P. ESPECÍFICO DE DISCAPACIDADES MOTORAS,TENERIFE,SANTA CRUZ DE TENERIFE,,SIN ASIGNAR
38706057,EOEP,E.O.E.P. ESPECÍFICO DE TRASTORNOS GENERALIZADOS DEL DESARROLLO,TENERIFE,SANTA CRUZ DE TENERIFE,,SIN ASIGNAR
38706701,CER,CER EL TANQUE,TENERIFE,GARACHICO,http://www.gobiernodecanarias.org/educacion/usr/eltanque,C.PROFES. NORTE DE TENERIFE - 38700391
38706901,CER,CER TEGUESTE,TENERIFE,TEGUESTE,,C.PROFES. LA LAGUNA - 38700050
38707501,CER,CER TIJARAFE-TRICIAS,LA PALMA,TIJARAFE,,
38707631,CER,CER SANTIAGO DEL TEIDE,TENERIFE,SANTIAGO DEL TEIDE,,C.PROFES. TENERIFE SUR - 38700388
38707901,CER,CER EL HIERRO,EL HIERRO,VALVERDE,,C.PROFES. EL HIERRO - 38700140
