Codigo,Isla,Municipio,CentroProfesoresCodigo,CentroProfesoresNombre,URLWebCEP
,EL HIERRO,EL PINAR DE EL HIERRO,38700140,C.PROFES. EL HIERRO,http://www.gobiernodecanarias.org/educacion/cep_hierro
,EL HIERRO,FRONTERA,38700140,C.PROFES. EL HIERRO,http://www.gobiernodecanarias.org/educacion/cep_hierro
,EL HIERRO,VALVERDE,38700140,C.PROFES. EL HIERRO,http://www.gobiernodecanarias.org/educacion/cep_hierro
,FUERTEVENTURA,ANTIGUA,35700110,C.PROFES. PUERTO DEL ROSARIO,http://www.gobiernodecanarias.org/educacion/cep_puerto
,FUERTEVENTURA,BETANCURIA,35700110,C.PROFES. PUERTO DEL ROSARIO,http://www.gobiernodecanarias.org/educacion/cep_puerto
,FUERTEVENTURA,LA OLIVA,35700110,C.PROFES. PUERTO DEL ROSARIO,http://www.gobiernodecanarias.org/educacion/cep_puerto
,FUERTEVENTURA,PUERTO DEL ROSARIO,35700110,C.PROFES. PUERTO DEL ROSARIO,http://www.gobiernodecanarias.org/educacion/cep_puerto
,FUERTEVENTURA,PÁJARA,35707701,C.PROFES. GRAN TARAJAL,http://www.gobiernodecanarias.org/educacion/usr/c.profes.grantaraj
,FUERTEVENTURA,TUINEJE,35707701,C.PROFES. GRAN TARAJAL,http://www.gobiernodecanarias.org/educacion/usr/c.profes.grantaraj
,GRAN CANARIA,AGAETE,35700471,C.PROFES. GRAN CANARIA NOROESTE,http://www.ceparucas.com
,GRAN CANARIA,AGÜIMES,35702341,C.PROFES. GRAN CANARIA SUR,http://www.centrodelprofesorado.com
,GRAN CANARIA,ARTENARA,35700471,C.PROFES. GRAN CANARIA NOROESTE,http://www.ceparucas.com
,GRAN CANARIA,ARUCAS,35700471,C.PROFES. GRAN CANARIA NOROESTE,http://www.ceparucas.com
,GRAN CANARIA,FIRGAS,35700471,C.PROFES. GRAN CANARIA NOROESTE,http://www.ceparucas.com
,GRAN CANARIA,GÁLDAR,35700471,C.PROFES. GRAN CANARIA NOROESTE,http://www.ceparucas.com
,GRAN CANARIA,INGENIO,35702341,C.PROFES. GRAN CANARIA SUR,http://www.centrodelprofesorado.com
,GRAN CANARIA,LA ALDEA DE SAN NICOLÁS,35700471,C.PROFES. GRAN CANARIA NOROESTE,http://www.ceparucas.com
,GRAN CANARIA,LAS PALMAS DE GRAN CANARIA,35700468,C.PROFES. LAS PALMAS DE GRAN CANARIA,http://www.ceplaspalmas2.com
,GRAN CANARIA,MOGÁN,35702341,C.PROFES. GRAN CANARIA SUR,http://www.centrodelprofesorado.com
,GRAN CANARIA,MOYA,35700471,C.PROFES. GRAN CANARIA NOROESTE,http://www.ceparucas.com
,GRAN CANARIA,SAN BARTOLOMÉ DE TIRAJANA,35702341,C.PROFES. GRAN CANARIA SUR,http://www.centrodelprofesorado.com
,GRAN CANARIA,SANTA BRÍGIDA,35700468,C.PROFES. LAS PALMAS DE GRAN CANARIA,http://www.ceplaspalmas2.com
,GRAN CANARIA,SANTA LUCÍA DE TIRAJANA,35702341,C.PROFES. GRAN CANARIA SUR,http://www.centrodelprofesorado.com
,GRAN CANARIA,SANTA MARÍA DE GUÍA DE GRAN CANARIA,35700471,C.PROFES. GRAN CANARIA NOROESTE,http://www.ceparucas.com
,GRAN CANARIA,TEJEDA,35700468,C.PROFES. LAS PALMAS DE GRAN CANARIA,http://www.ceplaspalmas2.com
,GRAN CANARIA,TELDE,35707201,C.PROFES. TELDE,http://www.cepdetelde.org
,GRAN CANARIA,TEROR,35700471,C.PROFES. GRAN CANARIA NOROESTE,http://www.ceparucas.com
,GRAN CANARIA,VALLESECO,35700471,C.PROFES. GRAN CANARIA NOROESTE,http://www.ceparucas.com
,GRAN CANARIA,VALSEQUILLO DE GRAN CANARIA,35707201,C.PROFES. TELDE,http://www.cepdetelde.org
